coarse_agg_weight,fine_agg_weight,current_weight,fly_ash_weight,AEA_dose,type_awra_dose,W/(C+P),design_strength,actual_strength,poor_strength,overdesign
17250,15125,3380,845,0,0,0.6,1500,5140,no,3.426666667
13750,12200,2705,680,0,0,0.66,1500,4300,no,2.866666667
16380,17010,3006,750,0,3.94,0.72,2000,1730,yes,0.865
16480,16900,3020,745,0,3.98,0.68,2000,2290,no,1.145
3500,5200,1830,0,0.16,0,0.52,3000,5110,no,1.703333333
11850,18570,4152,1026,0,3.94,0.5,3000,4200,no,1.4
11850,18630,4134,1032,0,4.1,0.51,3000,3640,no,1.213333333
11950,18775,4140,1025,0,4.03,0.47,3000,3680,no,1.226666667
11950,18950,4135,1025,0,4.11,0.5,3000,3670,no,1.223333333
11820,18840,4185,1070,0,3.94,0.48,3000,3200,no,1.066666667
5600,13420,3215,1390,0.2,3,0.43,3000,3220,no,1.073333333
14460,14430,5058,0,0.61,0,0.52,3000,4730,no,1.576666667
14460,14520,5070,0,0.49,0,0.52,3000,4460,no,1.486666667
14850,14880,5190,0,0.6,0,0.53,3000,4390,no,1.463333333
14490,14490,5070,0,0.61,0,0.53,3000,4320,no,1.44
14460,14400,5064,0,0.59,0,0.5,3000,4400,no,1.466666667
8640,8790,3054,0,0.59,0,0.53,3000,5490,no,1.83
10080,10230,3570,0,0.56,0,0.52,3000,4850,no,1.616666667
14430,14400,5064,0,0.59,0,0.5,3000,4640,no,1.546666667
16600,14700,5055,0,0.49,0,0.51,3000,4330,no,1.443333333
16020,14360,5075,0,0.45,0,0.5,3000,4790,no,1.596666667
5440,5060,1800,0,0.39,0,0.52,3000,3930,no,1.31
14460,14680,5105,0,0.31,0,0.52,3000,4420,no,1.473333333
14420,14320,5030,0,0.34,0,0.52,3000,4630,no,1.543333333
17775,16525,5775,0,0.68,0,0.53,3000,4070,no,1.356666667
8525,7025,2530,0,0.81,0,0.5,3000,6390,no,2.13
17225,13900,5070,0,0.15,0,0.47,3000,4990,no,1.663333333
8400,7125,2770,0,0.61,0,0.49,3000,4210,no,1.403333333
13900,13825,3735,895,0.27,5.1,0.48,3000,3940,no,1.313333333
15225,15850,4140,995,0.51,5.06,0.51,3000,3360,no,1.12
15100,15725,4155,1005,0.7,5.06,2.07,3000,3220,no,1.073333333
15200,15775,4170,1010,0.62,5,0.49,3000,4040,no,1.346666667
15200,15775,4170,1010,0.62,5,0.49,3000,3890,no,1.296666667
16825,17325,4555,1100,0.5,5.04,0.51,3000,3840,no,1.28
15360,15120,4165,1000,0.28,5.03,0.48,3000,4230,no,1.41
9200,9140,2505,590,0.31,5.17,0.49,3000,3690,no,1.23
15380,15030,4155,995,0.28,5.13,0.5,3000,4330,no,1.443333333
15360,14990,4175,1005,0.24,5.02,0.49,3000,5740,no,1.913333333
15390,15180,4145,995,0.26,5.14,0.5,3000,4650,no,1.55
15390,15080,4160,1000,0.24,5.04,0.51,3000,4090,no,1.363333333
